IAU #	IAU Code	IAU Name
367	OPG	omicron Pegasids
368	JAD	July Andromedids
369	JTR	July Taurids
370	MIC	Microscopiids
371	APG	alpha Pegasids
372	PPS	phi Piscids
373	TPR	theta Perseids
374	ISC	iota Sculptorids
375	AOE	August omicron Eridanids
376	ALN	August Lyncids
377	DMO	Daytime Monocerotids
378	GER	gamma Eridanids
379	ACT	August Cetids
380	KDR	kappa Draconids
381	DPL	Daytime pi Leonids
382	BUM	beta Ursae Majorids
383	LDR	lambda Draconids
384	OLP	October Leporids
385	AUM	alpha Ursae Majorids
386	OBC	October beta Camelopardalids
387	OKD	October kappa Draconids
388	CTA	chi Taurids
389	OME	omega Eridanids
390	THA	November theta Aurigids
391	NDD	November delta Draconids
392	NID	November i Draconids
393	RBO	rho Bootids
394	ACA	alpha Canis Majorids
395	GCM	gamma Canis Majorids
396	DTA	December theta Aurigids
397	NGM	nu Geminids
398	DCM	December Canis Majorids
399	DHY	December Hydrids
400	BMO	beta Monocerotids
401	BSX	beta Sextandids
402	JHY	January Hydrids
403	CVN	Canum Venaticids
404	GUM	gamma Ursae Minorids
405	MHY	mu Hydrids
406	FCB	February Comae Berenicids
407	OEE	October eta Eridanids
408	KHY	kappa Hydrids
409	NCY	nu Cygnids
410	DPI	delta Piscids
411	CAN	c Andromedids
412	FOP	f Ophiuchids
413	MUL	mu Lyrids
414	ATR	alpha Triangulids
415	AUP	August Piscids
416	SIC	September iota Cassiopeiids
417	ETT	eta Taurids
418	BHE	beta Herculids
419	DAC	Daytime April Cetids
420	CCA	chi Capricornids
421	MMI	May Microscopiids
422	NLL	Northern Librids-Luppids
423	SLL	Southern Librids-Luppids
424	SOL	September-October Lyncids
425	PSA	psi Aurigids
426	DCR	Daytime Craterids
427	FED	February eta Draconids
428	DSV	December sigma Virginids
429	ACB	alpha Coronae Borealids
430	POR	September pi Orionids
431	JIP	June iota Pegasids
432	NBO	nu Bootids
433	ETP	eta Pegasids
434	BAR	beta Arietids
435	MPR	mu Perseids
436	GCP	gamma Cepheids
437	NLY	November Lyncids
438	MLE	mu Leonids
439	ASX	alpha Sextantids
440	NLM	November Leonis Minorids
441	NLD	November lambda Draconids
442	RLE	rho Leonids
443	DCL	December Leonids
444	ZCS	zeta Cassiopeiids
445	KUM	kappa Ursae Majorids
446	DPC	December phi Cassiopeiids
448	AAL	April alpha Librids
449	ABS	April beta Sextantids
450	AED	April epsilon Delphinids
451	CAM	Camelopardalids
452	TVI	theta Virginids
453	MML	May mu Leonids
454	MPV	May phi Virginids
455	MAC	May alpha Comae Berenicids
456	MPS	May psi Scorpiids
457	MDL	May delta Leonids
458	JEC	June epsilon Cygnids
459	JEO	June epsilon Ophiuchids
460	LOP	lambda Ophiuchids
461	JGS	July gamma Sagittariids
462	JGP	July gamma Pegasids
463	JRH	July rho Herculids
464	KLY	kappa Lyrids
465	AXC	August xi Cassiopeiids
466	AOC	August omicron Cetids
467	ANA	August nu Aquariids
468	AAH	August alpha Herculids
469	AUS	August upsilon Sagittariids
470	AMD	August mu Draconids
471	ABC	August beta Capricornids
472	ATA	August theta Aquilids
473	LAQ	lambda Aquariids
474	ABA	August beta Aquilids
475	SAQ	September Aquariids
476	ICE	iota Cetids
477	SRP	September rho Pegasids
478	STC	September theta Capricornids
479	SOO	September omicron Orionids
480	TCA	tau Cancrids
481	OML	October mu Leonids
482	NGP	November gamma Pegasids
483	NAS	November alpha Sextantids
484	IOA	iota Arietids
485	NZT	November zeta Taurids
486	NZP	November zeta Perseids
487	NRC	November rho Cygnids
488	NSU	November sigma Ursae Majorids
489	ZLE	zeta Leonids
490	DGE	December delta Eridanids
491	DCC	December delta Cancrids
492	DTH	December theta Hydrids
493	DEC	December epsilon Craterids
494	DEL	December Lyncids
495	DMT	December mu Taurids
496	DED	December epsilon Eridanids
497	DAB	December alpha Bootids
498	DMH	December mu Hydrids
499	DDL	December detla Leonids
500	JPV	January phi Virginids
501	FPL	February pi Leonids
502	DRV	December rho Virginids
503	NNA	99 Aquariids
504	OPI	omega Piscids
505	AIC	August iota Cetids
506	FEV	February epsilon Virginids
507	UAN	upsilon Andromedids
508	TPI	theta Piscids
509	KVI	kappa Virginids
510	JRC	June rho Cygnids
511	FLY	15 Lyncids
512	RPU	rho Puppids
513	EPV	epsilon Virginids
514	OMC	omega Capricornids
515	OLE	omicron Leonids
516	FMV	February mu Virginids
517	ALO	April lambda Ophiuchids
518	AHE	April 102 Herculids
519	BAQ	beta Aquariids
520	MBC	May beta Capricornids
521	JRP	June rho Cygnids
522	SAP	Southern alpha Pegasids
523	AGC	August gamma Cepheids
524	LUM	lambda Ursae Majorids
525	ICY	iota Cygnids
526	SLD	Southern lambda Draconids
527	UUM	upsilon Ursae Majorids
528	JZD	January zeta Draconids
529	EHY	eta Hydrids
530	ECV	eta Corvids
531	GAQ	gamma Aquilids
532	MLD	May lambda Draconids
533	JXA	July xi Arietids
534	FOA	51 Andromedids
535	THC	theta Cetids
536	FSO	47 Ophiuchids
537	KAU	kappa Aurigids
538	FFA	55 Arietids
539	ACP	alpha Cepthids
540	TCR	theta Craterids
541	SSD	66 Draconids
542	DES	delta Sextantids
543	TTB	22 Bootids
544	JNH	January nu Hydrids
545	XCA	xi Cassiopeiids
546	FTC	43 Cassiopeiids
547	KAP	kappa Perseids
548	XXX	15 Aquariids
549	FAN	49 Andromedids
550	KPC	kappa Cassiopeiids
551	FSA	47 Andromedids
552	PSO	pi6 Orionids
553	DPE	delta Perseids
554	APE	alpha Perseids
555	OCP	October gamma Camelopardalids
556	PTA	phi Taurids
557	SFD	64 Draconids
558	TSM	27 Monocerotids
559	MCB	beta Canis Majorids
560	SES	17 Sextantids
561	SSX	6 Sextantids
562	BCT	13 Comae Berenicids
563	DOU	December omega Ursae Majorids
564	SUM	61 Ursae Majorids
565	FUM	59 Ursae Majorids
566	BCF	5 Comae Berenicids
567	XHY	xi Hydrids
568	FCV	14 Canum Venaticids
569	OHY	omicron Hydrids
570	FBH	February beta Herculids
571	TSB	26 Bootids
572	TOH	21 Herculids
573	TLM	32 Leonis Minorids
574	GMA	gamma Ursae Majorids
575	SAU	63 Aurigids
576	FOB	40 Comae Berenicids
577	FPI	58 Piscids
578	TUM	theta Ursae Majorids
579	TCV	Canum Venaticids-Bootids
580	CHA	chi Andromedids
581	NHE	90 Herculids
582	JBC	January beta Craterids
583	TTA	12 Taurids
584	GCE	Cepheids-Cassiopeiids
585	THY	33 Hydrids
586	TLA	2 Lacertids
587	FNC	59 Cygnids
588	TTL	22 Lyncids
589	FCA	50 Cancrids
590	VCT	10 Canum Venaticids
591	ZBO	zeta Bootids
592	PON	91 Piscids
593	TOL	28 Lyncids
594	RSE	Serpentids-Coronae Borealids
595	TTT	13 Taurids
596	MUS	78 Ursae Majorids
597	TTS	theta2 Sagittariids
598	TCT	tau Cetids
599	POS	72 Ophiuchids
600	FAU	43 Aurigids
601	ICT	iota Craterids
602	KCR	kappa Craterids
603	FCR	15 Cancrids
604	ACZ	zeta1 Cancrids
605	FHR	52 Herculids
606	JAU	January alpha Ursae Majorids
607	TBO	12 Bootids
608	FAR	14 Aurigids
609	BOT	37 Comae Berenicids
610	SGM	68 Geminids
611	VCF	4 Canum Venaticids
612	NCA	19 Canum Venaticids
613	TLY	31 Lyncids
614	JOS	January omega Serpentids
615	TOR	35 Comae Berenicids
616	TOB	26 Comae Berenicids
617	IUM	iota Ursae Majorids
618	THD	12 Hydrids
619	SLM	7 Leonis Minorids
620	SBO	sigma Bootids
621	SUA	73 Ursae Majorids
622	PUA	phi Ursae Majorids
623	XCS	xi2 Capricornids
624	XAR	xi Arietids
625	LTA	lambda Taurids
626	LCT	lambda Cetids
627	NPS	nu Piscids
628	STS	s Taurids
629	ATS	A2 Taurids
630	TAR	tau Arietids
631	DAT	delta Arietids
632	NET	November eta Taurids
633	PTS	p Taurids
634	TAT	tau Taurids
635	ATU	A1 Taurids
636	MTA	m Taurids
637	FTR	f Taurids
638	DZT	December zeta Taurids
639	NNT	November 98 Taurids
640	AOA	August omicron Aquariids
641	DRG	December rho Geminids
642	PCE	phi Cetids
643	OLS	omega Leonids
644	JLL	January lambda Leonids
645	PHC	phi Cancrids
646		
647	BCO	beta Comae Berenicids
648	TAL	22 Aquilids
649		
650		
651	OAV	October alpha Virginids (68-Virginids)
652	OSP	omicron Serpentids
653	RLY	R Lyrids
654		
655	APC	April phi Capricornids
656	AAA	April alpha Antliids
657	GSG	gamma Sagittariids
658	EDR	epsilon Draconids
659	ADS	A Draconids
660	EPS	epsilon Scorpiids
661	OTH	110 Herculids
662		
663		
664	MXA	May xi Aurigids
665	MUC	May upsilon Cygnids
666		
667	JTP	June theta Piscids
668	JMP	June mu Pegasids
669	CHP	chi Pegasids
670	JEP	June eta Pegasids
671	MCY	mu Cygnids
672	HNJ	June 9 Herculids
673		
674		
675		
676		
677	FCL	43 Camelopardalids
678		
679	MUA	mu Aquariids
680	JEA	June epsilon Arietids
681	OAQ	omicron Aquariids
682		
683	JTS	June theta Serpentids
684	NUP	nu Ophiuchids
685	JPS	June beta Pegasids
686	JRD	June rho Draconids
687	KDP	kappa Delphinids
688	BTR	beta Triangulids
689	TAC	tau Capricornids
690		
691	ZCE	zeta Cetids
692	EQA	epsilon Aquariids
693	ANP	August nu Perseids
694	OMG	omicron Geminids
695	APA	August psi Aurigids
696	OAU	omicron Aurigids
697		
698	AET	August eta Taurids
699		
700		
701	BCE	beta Cepheids
702	ASP	August 78 Pegasids
703	IOD	iota Draconids
704	OAN	omicron Andromedids
705	UYL	UY Lynxids
706	ZPI	zeta Piscids
707	BPX	beta Pyxidids
708	RLM	R Leonis Minorids
709	LCM	lambda Canis Majorids
710	IOL	iota Leonids
711		
712	FDC	February delta Cygnids
713	CCR	chi Cancrids
714	RPI	rho Piscids
715	ACL	alpha Camelopardalids
716	OCH	October chi Andromedids
717	LAU	lambda Aurigids
718	XGM	xi Geminids
719	LGM	lambda Geminids
720	NGB	November gamma Bootids
721	DAS	December alpha Sextantids
722	FLE	15 Leonids
723		
724	LAP	lambda Piscids
725	DZC	December zeta Cygnids
726	DEG	December epsilon Geminids
727	ISR	iota Serpentids
728	PGE	phi Geminids
729	DCO	delta Corvids
730	ATV	April theta Virginids
731	JZB	January zeta Bootids
732	FGV	February gamma Virginids
733	LAL	lambda Leonids
734	MOC	March omicron Cygnids
735		
736	XIP	xi Perseids
737	FNP	59 Pereids
738	RER	rho Eridanids
739	LAR	lambda Arietids
740		
741		
742		
743		
744		
745	OSD	October 6 Draconids
746	EVE	e Velids
747	JKL	January kappa Leonids
748	JTL	January theta Leonids
749	NMV	Northern March gamma Virginids
750	SMV	Southern March gamma Virginids
751	KCE	kappa Cepheids
752	AAC	April alpha Capricornids
753	NED	November Draconids
754	POD	psi Draconids
755	MID	May iota Draconids
756	RPH	rho Phoenicids
757	CCY	chi Cygnids
758	VOL	Volantids
759	THO	30 Ophiuchids
760	OCD	Octantids
761	PPC	Puppids-Pixidids Complex
762	OPA	omicron Pavonids
763	UPA	upsilon Pavonids
764	TEL	Telescopiids
765	ASG	alpha Sagittarriids
766	BAD	beta Aquilids
767	APH	alpha Phoenicids
768	ZPH	zeta Phoenicids
769	PPH	psi Phoenicids
770	LCA	lamda Caelids
771	SCO	sigma Columbids
772	GSE	gamma Sextantids
773	THP	3 Puppids
774	ECM	eta Canis Majorids
775	OBP	October beta Pyxidids
776	OAP	October alpha Pyxidids
777	OPU	October Puppids
778	ZAN	zeta Antliids
779	OLV	October lambda Velorids
780	NPU	November Puppids
781	NLV	November lamba Velids
782	IAD	iota Arids
783	ILU	iota Lupds
784	KVE	kappa Velids
785	TCD	theta Carinids
786	SXP	6 Puppids
787	KVO	kappa Volantids
788	NHR	9 Herculids
789	JMV	January mu Velorids
790	PVL	psi Velids
791	IAN	iota Antliids
792	MBE	March beta Equuleids
793	KCA	kappa Cancrids
794	GLY	gamma Lyrids
795	SUR	September Ursae Majorids
796	SED	September epsilon Draconids
797	EGR	epsilon Gruids
798	ACD	August Caelids
799	JCT	November Cetids
800	NEC	July Cetids
801	JCD	June Cetids
802	ADS	June Aguariids
803	LSA	lambda Sagittariids
804	DGR	delta Gruids
805	GSC	gamma Sculptorids
806	SGI	June Sagittariids
807	PCS	February Leonids
808	FLO	phi Capricornids
809	USG	phi Ophiuchids
810	XCD	October Cetids
811	LPC	lambda Capricornids
812	NAA	November alpha Aurigids
813	OAC	October alpha Camelopardalids
814	CVD	January Canum Venaticids
815	UMS	August Ursae Majorids
816	CVT	February Canum Venaticids
817	PCI	42 Piscids
818	OAG	October Aurigids
819	SPS	Sigma Perseids
820	TRD	October Taurids
821	DRP	December rho Puppids
822	NUT	nu Taurids
